date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:39:33	82/82	---MCZ	200	added ('OK')	text/plain	date:Sun,%2021%20Dec%202025%2016:41:20%20GMT	https://cdsl.vn/robots.txt		(from )
22:39:36	67317/67317	---MCZ	200	added ('OK')	text/html	date:Thu,%2025%20Dec%202025%2015:39:36%20GMT	https://cdsl.vn/about/	C:/laragon/www/brothersstillalive.studio/sample1/homepage%20sample/cdsl.vn/about/index.html	(from )
22:39:37	15203/15203	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2025%20Dec%202025%2015:39:37%20GMT	https://kit.fontawesome.com/f29fdb0afe.js	C:/laragon/www/brothersstillalive.studio/sample1/homepage%20sample/kit.fontawesome.com/f29fdb0afe.js	(from https://cdsl.vn/about/)
22:39:37	171322/171322	---MCZ	200	added ('OK')	text/css	date:Tue,%2015%20Mar%202022%2020:27:47%20GMT	https://cdsl.vn/wp-content/themes/collective-cdsl/css/styles.css	C:/laragon/www/brothersstillalive.studio/sample1/homepage%20sample/cdsl.vn/wp-content/themes/collective-cdsl/css/styles.css	(from https://cdsl.vn/about/)
22:39:37	205/205	---M--	200	added ('OK')	image/png	date:Sun,%2008%20Aug%202021%2008:44:45%20GMT	https://cdsl.vn/wp-content/uploads/2021/08/cropped-Favicon-32x32.png	C:/laragon/www/brothersstillalive.studio/sample1/homepage%20sample/cdsl.vn/wp-content/uploads/2021/08/cropped-Favicon-32x32.png	(from https://cdsl.vn/about/)
22:39:37	578/578	---M--	200	added ('OK')	image/png	date:Sun,%2008%20Aug%202021%2008:44:45%20GMT	https://cdsl.vn/wp-content/uploads/2021/08/cropped-Favicon-192x192.png	C:/laragon/www/brothersstillalive.studio/sample1/homepage%20sample/cdsl.vn/wp-content/uploads/2021/08/cropped-Favicon-192x192.png	(from https://cdsl.vn/about/)
22:39:38	548/548	---M--	200	added ('OK')	image/png	date:Sun,%2008%20Aug%202021%2008:44:45%20GMT	https://cdsl.vn/wp-content/uploads/2021/08/cropped-Favicon-180x180.png	C:/laragon/www/brothersstillalive.studio/sample1/homepage%20sample/cdsl.vn/wp-content/uploads/2021/08/cropped-Favicon-180x180.png	(from https://cdsl.vn/about/)
22:39:38	89476/89476	---M-Z	200	added ('OK')	application/javascript	etag:W/%2215d84-yOHIs4bcW3qRhMdjyI0Zo0brM0I%22	https://cdn.jsdelivr.net/npm/jquery@3.5.1/dist/jquery.min.js	C:/laragon/www/brothersstillalive.studio/sample1/homepage%20sample/cdn.jsdelivr.net/npm/jquery@3.5.1/dist/jquery.min.js	(from https://cdsl.vn/about/)
22:39:39	24/24	---M--	400	error ('Bad%20Request')	text/plain	date:Thu,%2025%20Dec%202025%2015:39:39%20GMT	https://cdsl.vn/cdn-cgi/zaraz/s.js?z=	C:/laragon/www/brothersstillalive.studio/sample1/homepage%20sample/cdsl.vn/cdn-cgi/zaraz/sd0d9.js	(from https://cdsl.vn/about/)
22:39:41	862333/862333	---M--	200	added ('OK')	image/jpeg	date:Wed,%2026%20Jun%202024%2006:35:13%20GMT	https://cdsl.vn/wp-content/uploads/2024/06/VSTRAal-218-copy-1-min.jpg	C:/laragon/www/brothersstillalive.studio/sample1/homepage%20sample/cdsl.vn/wp-content/uploads/2024/06/VSTRAal-218-copy-1-min.jpg	(from https://cdsl.vn/about/)
22:39:50	2112023/2112023	---M--	200	added ('OK')	image/png	date:Tue,%2002%20Jul%202024%2007:14:59%20GMT	https://cdsl.vn/wp-content/uploads/2024/06/IM_STILL_HERE-1.png	C:/laragon/www/brothersstillalive.studio/sample1/homepage%20sample/cdsl.vn/wp-content/uploads/2024/06/IM_STILL_HERE-1.png	(from https://cdsl.vn/about/)
22:39:51	210365/210365	---M--	200	added ('OK')	image/jpeg	date:Fri,%2006%20Aug%202021%2023:17:29%20GMT	https://cdsl.vn/wp-content/uploads/2021/08/about-cover.jpg	C:/laragon/www/brothersstillalive.studio/sample1/homepage%20sample/cdsl.vn/wp-content/uploads/2021/08/about-cover.jpg	(from https://cdsl.vn/about/)
22:39:55	3067226/3067226	---M--	200	added ('OK')	image/jpeg	date:Tue,%2009%20Jul%202024%2013:02:58%20GMT	https://cdsl.vn/wp-content/uploads/2024/07/VOVE-PRESS-new-16.jpg	C:/laragon/www/brothersstillalive.studio/sample1/homepage%20sample/cdsl.vn/wp-content/uploads/2024/07/VOVE-PRESS-new-16.jpg	(from https://cdsl.vn/about/)
22:39:57	1634273/1634273	---M--	200	added ('OK')	image/jpeg	date:Fri,%2014%20Apr%202023%2012:28:40%20GMT	https://cdsl.vn/wp-content/uploads/2023/04/HDVF4768-FINAL-1.jpeg	C:/laragon/www/brothersstillalive.studio/sample1/homepage%20sample/cdsl.vn/wp-content/uploads/2023/04/HDVF4768-FINAL-1.jpg	(from https://cdsl.vn/about/)
22:40:00	302613/302613	---M--	200	added ('OK')	image/jpeg	date:Thu,%2021%20Aug%202025%2010:03:05%20GMT	https://cdsl.vn/wp-content/uploads/2025/08/Cover-FB-1.jpg	C:/laragon/www/brothersstillalive.studio/sample1/homepage%20sample/cdsl.vn/wp-content/uploads/2025/08/Cover-FB-1.jpg	(from https://cdsl.vn/about/)
22:40:02	244520/244520	---M--	200	added ('OK')	image/jpeg	date:Wed,%2019%20Mar%202025%2004:30:21%20GMT	https://cdsl.vn/wp-content/uploads/2025/03/cover-art-rgb-1.jpg	C:/laragon/www/brothersstillalive.studio/sample1/homepage%20sample/cdsl.vn/wp-content/uploads/2025/03/cover-art-rgb-1.jpg	(from https://cdsl.vn/about/)
22:40:10	1704128/1704128	---M--	200	added ('OK')	image/jpeg	date:Fri,%2010%20Nov%202023%2019:56:43%20GMT	https://cdsl.vn/wp-content/uploads/2023/11/VSTRAal-731-1.jpg	C:/laragon/www/brothersstillalive.studio/sample1/homepage%20sample/cdsl.vn/wp-content/uploads/2023/11/VSTRAal-731-1.jpg	(from https://cdsl.vn/about/)
